combo,KF_acc_mean,KF_acc_max,KF_acc_min,KF_var,CV_acc_mean,CV_acc_max,CV_acc_min,CV_var,nFeatures,knn_k
['Hotel'],0.3814169570267131,0.6428571428571429,0.23809523809523808,0.012862498162064754,0.5389082462253195,0.6904761904761905,0.3902439024390244,0.007605949379553526,1,10
['Tourism'],0.40813008130081296,0.6097560975609756,0.16666666666666666,0.013121967406831858,0.5221835075493612,0.7380952380952381,0.36585365853658536,0.013202027191999153,1,10
['University'],0.3314169570267131,0.5121951219512195,0.19047619047619047,0.008594188617346602,0.47717770034843204,0.5476190476190477,0.3333333333333333,0.005055505644653264,1,10
['Cafe'],0.377061556329849,0.5952380952380952,0.23809523809523808,0.013201234687807307,0.5202671312427409,0.7380952380952381,0.42857142857142855,0.007003474203482704,1,10
['Pub'],0.4035423925667828,0.6097560975609756,0.2619047619047619,0.010467021034072956,0.5155052264808362,0.6190476190476191,0.4146341463414634,0.003386120857226492,1,10
['Luas'],0.35557491289198606,0.5476190476190477,0.19047619047619047,0.01509764663350964,0.4651567944250871,0.5609756097560976,0.34146341463414637,0.003108842188471661,1,10
['Museum'],0.35795586527293843,0.5365853658536586,0.14285714285714285,0.01199272649769803,0.4939605110336817,0.6341463414634146,0.3170731707317073,0.008582193139004561,1,10
['Restaurant'],0.37241579558652727,0.5365853658536586,0.16666666666666666,0.0167754623165943,0.467363530778165,0.6190476190476191,0.3170731707317073,0.006675906928307711,1,10
['Company'],0.35098722415795586,0.5365853658536586,0.19047619047619047,0.017867374592113273,0.46033681765389095,0.5952380952380952,0.38095238095238093,0.005460323530562334,1,10
['Liffey'],0.46800232288037175,0.7317073170731707,0.21428571428571427,0.02929422274561223,0.5464576074332171,0.7073170731707317,0.2926829268292683,0.010931094627023921,1,10
['Price Area'],0.30290360046457604,0.9523809523809523,0.0,0.09303494707420942,0.5202090592334494,0.6428571428571429,0.4523809523809524,0.002646343486829593,1,10
"['Hotel', 'Tourism']",0.3842044134727062,0.5714285714285714,0.21428571428571427,0.012604607180964792,0.49157955865272934,0.5952380952380952,0.35714285714285715,0.004434667977839559,2,10
"['Hotel', 'University']",0.3939605110336818,0.6097560975609756,0.2619047619047619,0.009938353290949534,0.5184668989547039,0.7073170731707317,0.42857142857142855,0.006543373248565736,2,10
"['Hotel', 'Cafe']",0.4368176538908246,0.5952380952380952,0.23809523809523808,0.010320819186290419,0.5224157955865273,0.7142857142857143,0.3902439024390244,0.010884906808251757,2,10
"['Hotel', 'Pub']",0.4274680603948896,0.5714285714285714,0.23809523809523808,0.012703164351205484,0.553774680603949,0.6666666666666666,0.47619047619047616,0.004159277829712095,2,10
"['Hotel', 'Luas']",0.3891405342624855,0.5365853658536586,0.23809523809523808,0.010945626118779854,0.5010452961672475,0.6666666666666666,0.40476190476190477,0.006930924660167458,2,10
"['Hotel', 'Museum']",0.43670150987224154,0.6666666666666666,0.2857142857142857,0.011207560557437327,0.5659698025551683,0.6428571428571429,0.4523809523809524,0.0036843823390946715,2,10
"['Hotel', 'Restaurant']",0.398664343786295,0.5952380952380952,0.21428571428571427,0.015880789158812445,0.5225900116144018,0.5952380952380952,0.4146341463414634,0.0024359521718661688,2,10
"['Hotel', 'Company']",0.35534262485482,0.6428571428571429,0.19047619047619047,0.016684975199677335,0.4456445993031359,0.6190476190476191,0.24390243902439024,0.011093723231906289,2,10
"['Hotel', 'Liffey']",0.3383275261324042,0.5714285714285714,0.19047619047619047,0.012542825577583799,0.477061556329849,0.5714285714285714,0.34146341463414637,0.004403507387488011,2,10
"['Hotel', 'Price Area']",0.38176538908246227,0.5238095238095238,0.21428571428571427,0.010344317778668084,0.5202090592334496,0.5952380952380952,0.43902439024390244,0.0026631378309801023,2,10
"['Tourism', 'University']",0.4010452961672474,0.5952380952380952,0.19047619047619047,0.016119009174163423,0.5010452961672474,0.6190476190476191,0.40476190476190477,0.00408526131055238,2,10
"['Tourism', 'Cafe']",0.410801393728223,0.7142857142857143,0.21428571428571427,0.020393001142554983,0.5222996515679443,0.6428571428571429,0.34146341463414637,0.007821861244993735,2,10
"['Tourism', 'Pub']",0.44419279907084785,0.6097560975609756,0.2619047619047619,0.015359098824935486,0.5534262485481998,0.6904761904761905,0.4146341463414634,0.006010689026750894,2,10
"['Tourism', 'Luas']",0.36475029036004647,0.6190476190476191,0.23809523809523808,0.013013825994407282,0.47903600464576074,0.6190476190476191,0.36585365853658536,0.005992103960362653,2,10
"['Tourism', 'Museum']",0.3654471544715447,0.5121951219512195,0.14285714285714285,0.02004098426997212,0.49128919860627185,0.5952380952380952,0.40476190476190477,0.004945495945750896,2,10
"['Tourism', 'Restaurant']",0.42752613240418125,0.6428571428571429,0.23809523809523808,0.014638314576276675,0.5343205574912894,0.6190476190476191,0.4146341463414634,0.0033220730290926606,2,10
"['Tourism', 'Company']",0.3626596980255517,0.5609756097560976,0.21428571428571427,0.01615745743072165,0.4745063879210221,0.6428571428571429,0.35714285714285715,0.006604726562447309,2,10
"['Tourism', 'Liffey']",0.40058072009291523,0.5714285714285714,0.2619047619047619,0.006666801560997191,0.5057491289198606,0.6904761904761905,0.35714285714285715,0.010565561342522336,2,10
"['Tourism', 'Price Area']",0.3698025551684088,0.5853658536585366,0.19047619047619047,0.016735179497140918,0.5007549361207898,0.6666666666666666,0.36585365853658536,0.007049715979987077,2,10
"['University', 'Cafe']",0.37926829268292683,0.5476190476190477,0.2619047619047619,0.006737462583685072,0.48205574912891985,0.5476190476190477,0.38095238095238093,0.0027894427650100315,2,10
"['University', 'Pub']",0.4109756097560976,0.6097560975609756,0.23809523809523808,0.014964371034949773,0.5301974448315911,0.7142857142857143,0.35714285714285715,0.009449482747689598,2,10
"['University', 'Luas']",0.4182346109175377,0.7073170731707317,0.23809523809523808,0.015051428463513103,0.5345528455284553,0.6904761904761905,0.4523809523809524,0.004633030090878311,2,10
"['University', 'Museum']",0.3845528455284553,0.6097560975609756,0.11904761904761904,0.02189684360756002,0.5179442508710801,0.6190476190476191,0.4523809523809524,0.002573881624829191,2,10
"['University', 'Restaurant']",0.3940766550522648,0.6341463414634146,0.14285714285714285,0.014395936443187226,0.5156213704994193,0.6428571428571429,0.40476190476190477,0.005190966531367654,2,10
"['University', 'Company']",0.34581881533101044,0.4878048780487805,0.23809523809523808,0.005335492317093406,0.47746806039488965,0.5476190476190477,0.2857142857142857,0.005154771010129218,2,10
"['University', 'Liffey']",0.3530778164924507,0.6428571428571429,0.19047619047619047,0.017856164873246545,0.5084204413472706,0.5714285714285714,0.40476190476190477,0.0022580805076343456,2,10
"['University', 'Price Area']",0.3697444831591173,0.5365853658536586,0.21428571428571427,0.010559126882956236,0.5088269454123113,0.6585365853658537,0.3333333333333333,0.007742921082769814,2,10
"['Cafe', 'Pub']",0.40789779326364695,0.5476190476190477,0.2857142857142857,0.006181343844299568,0.5247967479674798,0.6190476190476191,0.4146341463414634,0.0040320623589511165,2,10
"['Cafe', 'Luas']",0.3984901277584204,0.5,0.2619047619047619,0.005028982046913551,0.4986643437862951,0.6428571428571429,0.3902439024390244,0.007472609706186661,2,10
"['Cafe', 'Museum']",0.4057491289198606,0.5238095238095238,0.23809523809523808,0.0070456017029060306,0.5349012775842044,0.6428571428571429,0.40476190476190477,0.005469658218234747,2,10
"['Cafe', 'Restaurant']",0.36957026713124275,0.43902439024390244,0.23809523809523808,0.003972044498941754,0.5083623693379791,0.5714285714285714,0.42857142857142855,0.0018678278370638374,2,10
"['Cafe', 'Company']",0.3671312427409988,0.5952380952380952,0.2857142857142857,0.007995173480853773,0.486759581881533,0.5714285714285714,0.35714285714285715,0.0038424515156052505,2,10
"['Cafe', 'Liffey']",0.40830429732868756,0.6190476190476191,0.23809523809523808,0.013325431897922766,0.5303135888501742,0.6585365853658537,0.47619047619047616,0.0027349016148200318,2,10
"['Cafe', 'Price Area']",0.3509291521486643,0.5609756097560976,0.19047619047619047,0.015208057643045322,0.4795586527293844,0.5714285714285714,0.38095238095238093,0.0025291203136023396,2,10
"['Pub', 'Luas']",0.4106271777003484,0.6097560975609756,0.21428571428571427,0.01271860975205073,0.5225319396051104,0.6666666666666666,0.42857142857142855,0.005494907064550985,2,10
"['Pub', 'Museum']",0.4440766550522648,0.5609756097560976,0.2619047619047619,0.006576776457162284,0.5755516840882694,0.6428571428571429,0.47619047619047616,0.002935128641978308,2,10
"['Pub', 'Restaurant']",0.4007549361207897,0.5853658536585366,0.2857142857142857,0.010968490707804044,0.4983159117305459,0.5952380952380952,0.3170731707317073,0.0065701261666673404,2,10
"['Pub', 'Company']",0.40813008130081296,0.5714285714285714,0.23809523809523808,0.010526870276169165,0.48432055749128927,0.6428571428571429,0.30952380952380953,0.008857161742349132,2,10
"['Pub', 'Liffey']",0.44401858304297326,0.6190476190476191,0.23809523809523808,0.012182522820748371,0.5516260162601626,0.6428571428571429,0.40476190476190477,0.0043514516653379584,2,10
"['Pub', 'Price Area']",0.4184088269454123,0.6097560975609756,0.23809523809523808,0.014457721418926484,0.5179442508710801,0.6190476190476191,0.42857142857142855,0.0034809111032872418,2,10
"['Luas', 'Museum']",0.3937862950058072,0.5853658536585366,0.2619047619047619,0.01225362899472698,0.5057491289198607,0.5952380952380952,0.4146341463414634,0.0028796196249667822,2,10
"['Luas', 'Restaurant']",0.37468060394889663,0.5714285714285714,0.21428571428571427,0.012451272795455678,0.48426248548199774,0.5714285714285714,0.38095238095238093,0.002427049146051441,2,10
"['Luas', 'Company']",0.4011033681765389,0.6428571428571429,0.19047619047619047,0.019326786237001254,0.4887921022067364,0.6428571428571429,0.38095238095238093,0.005893064542890329,2,10
"['Luas', 'Liffey']",0.4132404181184669,0.5853658536585366,0.2857142857142857,0.011315152275465012,0.5318815331010455,0.6190476190476191,0.43902439024390244,0.003132209258877058,2,10
"['Luas', 'Price Area']",0.454239256678281,0.8536585365853658,0.2857142857142857,0.023328409690269124,0.5393147502903602,0.5952380952380952,0.4523809523809524,0.0023594401075917176,2,10
"['Museum', 'Restaurant']",0.4371660859465738,0.5609756097560976,0.30952380952380953,0.007286708456930265,0.5349593495934959,0.6666666666666666,0.42857142857142855,0.00784584545696129,2,10
"['Museum', 'Company']",0.4083623693379791,0.5476190476190477,0.2857142857142857,0.00859727432515739,0.5297328687572589,0.7142857142857143,0.43902439024390244,0.004681831487304422,2,10
"['Museum', 'Liffey']",0.398780487804878,0.5476190476190477,0.21428571428571427,0.014991687136881333,0.5251451800232287,0.6428571428571429,0.4146341463414634,0.004156030248704679,2,10
"['Museum', 'Price Area']",0.4062137049941928,0.5853658536585366,0.14285714285714285,0.0177051675320138,0.4994773519163763,0.6829268292682927,0.2857142857142857,0.014509197095455279,2,10
"['Restaurant', 'Company']",0.37955865272938444,0.5952380952380952,0.21428571428571427,0.014664915738256437,0.48879210220673636,0.5714285714285714,0.36585365853658536,0.005620105865070599,2,10
"['Restaurant', 'Liffey']",0.37473867595818816,0.5714285714285714,0.19047619047619047,0.016020458748639253,0.48919860627177697,0.5952380952380952,0.42857142857142855,0.0027281164299945647,2,10
"['Restaurant', 'Price Area']",0.3461672473867596,0.4878048780487805,0.23809523809523808,0.009509068945841276,0.458362369337979,0.5365853658536586,0.2857142857142857,0.005464977384965489,2,10
"['Company', 'Liffey']",0.3605691056910569,0.6097560975609756,0.19047619047619047,0.019212557717911673,0.4626596980255517,0.5476190476190477,0.38095238095238093,0.002464590238236878,2,10
"['Company', 'Price Area']",0.3606271777003484,0.5609756097560976,0.19047619047619047,0.01597647982452946,0.45110336817653895,0.5609756097560976,0.2619047619047619,0.0068311028555780836,2,10
"['Liffey', 'Price Area']",0.3939024390243902,0.6341463414634146,0.21428571428571427,0.01277098922059405,0.5250290360046458,0.7142857142857143,0.36585365853658536,0.008055919770247978,2,10
"['Hotel', 'Tourism', 'University']",0.40830429732868756,0.5714285714285714,0.2619047619047619,0.01321205321311551,0.529849012775842,0.6428571428571429,0.42857142857142855,0.003977844955154382,3,10
"['Hotel', 'Tourism', 'Cafe']",0.41538908246225315,0.6190476190476191,0.2619047619047619,0.012500121404897474,0.532520325203252,0.7073170731707317,0.42857142857142855,0.005486691999821938,3,10
"['Hotel', 'Tourism', 'Pub']",0.4560394889663183,0.6428571428571429,0.30952380952380953,0.01247057954651224,0.5534843205574914,0.6666666666666666,0.4878048780487805,0.004780415636411219,3,10
"['Hotel', 'Tourism', 'Luas']",0.4126596980255517,0.6428571428571429,0.30952380952380953,0.009099040766415632,0.5080720092915214,0.6904761904761905,0.3902439024390244,0.00560219189797672,3,10
"['Hotel', 'Tourism', 'Museum']",0.4342044134727062,0.6428571428571429,0.2857142857142857,0.009722714586528645,0.551567944250871,0.6190476190476191,0.47619047619047616,0.0021409618775132507,3,10
"['Hotel', 'Tourism', 'Restaurant']",0.41068524970963993,0.5952380952380952,0.23809523809523808,0.013716514168626006,0.517595818815331,0.6428571428571429,0.40476190476190477,0.006673495692149556,3,10
"['Hotel', 'Tourism', 'Company']",0.3988966318234611,0.5952380952380952,0.16666666666666666,0.01729955376955462,0.46742160278745654,0.6428571428571429,0.40476190476190477,0.0044814223527999365,3,10
"['Hotel', 'Tourism', 'Liffey']",0.3867595818815331,0.5952380952380952,0.19047619047619047,0.01586613626215904,0.4939024390243903,0.5714285714285714,0.42857142857142855,0.003005664887410449,3,10
"['Hotel', 'Tourism', 'Price Area']",0.4157955865272938,0.6097560975609756,0.21428571428571427,0.017238955863924,0.5321718931475029,0.6428571428571429,0.40476190476190477,0.005426677512170843,3,10
"['Hotel', 'University', 'Cafe']",0.3914053426248548,0.5,0.23809523809523808,0.006811624114250102,0.5060975609756099,0.6428571428571429,0.40476190476190477,0.004230437961422922,3,10
"['Hotel', 'University', 'Pub']",0.40824622531939603,0.5365853658536586,0.2857142857142857,0.005078029625492871,0.4990127758420441,0.6341463414634146,0.3333333333333333,0.006028903133730195,3,10
"['Hotel', 'University', 'Luas']",0.41312427409988384,0.5853658536585366,0.2857142857142857,0.007797040688176915,0.5153310104529618,0.6666666666666666,0.43902439024390244,0.005789947944277851,3,10
"['Hotel', 'University', 'Museum']",0.4084204413472706,0.6341463414634146,0.23809523809523808,0.013906597142128715,0.5398954703832752,0.6097560975609756,0.4523809523809524,0.0027655394896407897,3,10
"['Hotel', 'University', 'Restaurant']",0.37973286875725903,0.5609756097560976,0.19047619047619047,0.014293231272282861,0.4989547038327526,0.5714285714285714,0.38095238095238093,0.003971882625745124,3,10
"['Hotel', 'University', 'Company']",0.3407665505226481,0.42857142857142855,0.2619047619047619,0.003110245089509132,0.45580720092915217,0.5238095238095238,0.3333333333333333,0.002518979632305035,3,10
"['Hotel', 'University', 'Liffey']",0.3481997677119628,0.5952380952380952,0.11904761904761904,0.017311609950345398,0.48710801393728226,0.6341463414634146,0.35714285714285715,0.005806985098223307,3,10
"['Hotel', 'University', 'Price Area']",0.36300813008130084,0.5365853658536586,0.19047619047619047,0.01558538406439316,0.5228222996515679,0.5952380952380952,0.42857142857142855,0.0031742693111351237,3,10
"['Hotel', 'Cafe', 'Pub']",0.4180603948896632,0.5853658536585366,0.21428571428571427,0.016606736487972146,0.5299070847851336,0.6428571428571429,0.42857142857142855,0.004291410198820754,3,10
"['Hotel', 'Cafe', 'Luas']",0.39663182346109177,0.5609756097560976,0.23809523809523808,0.01403629466857138,0.5273519163763067,0.6904761904761905,0.43902439024390244,0.0054525266382579205,3,10
"['Hotel', 'Cafe', 'Museum']",0.44878048780487817,0.6190476190476191,0.23809523809523808,0.010317649169523057,0.5441927990708477,0.6666666666666666,0.4634146341463415,0.003232840429449589,3,10
"['Hotel', 'Cafe', 'Restaurant']",0.4226480836236933,0.5609756097560976,0.2619047619047619,0.012394347387973632,0.5275261324041811,0.6428571428571429,0.38095238095238093,0.004008938098340667,3,10
"['Hotel', 'Cafe', 'Company']",0.4059814169570267,0.6190476190476191,0.23809523809523808,0.014583523871575205,0.5061556329849013,0.6097560975609756,0.40476190476190477,0.0031862175764614787,3,10
"['Hotel', 'Cafe', 'Liffey']",0.398664343786295,0.6190476190476191,0.16666666666666666,0.0164588788122824,0.4984320557491289,0.5952380952380952,0.36585365853658536,0.003754247485232444,3,10
"['Hotel', 'Cafe', 'Price Area']",0.38948896631823465,0.5609756097560976,0.16666666666666666,0.016760286704410106,0.5009872241579559,0.5952380952380952,0.3902439024390244,0.005365425369037165,3,10
"['Hotel', 'Pub', 'Luas']",0.4154471544715447,0.5952380952380952,0.21428571428571427,0.015457082694271446,0.5226480836236934,0.6904761904761905,0.4523809523809524,0.004486045855978719,3,10
"['Hotel', 'Pub', 'Museum']",0.47740998838559817,0.6190476190476191,0.2619047619047619,0.007810951666012431,0.5849593495934958,0.6428571428571429,0.4523809523809524,0.004378538446907616,3,10
"['Hotel', 'Pub', 'Restaurant']",0.41573751451800234,0.6190476190476191,0.21428571428571427,0.020664830080356557,0.5276422764227643,0.6190476190476191,0.42857142857142855,0.002641986399953598,3,10
"['Hotel', 'Pub', 'Company']",0.41051103368176534,0.6190476190476191,0.16666666666666666,0.013373926409746929,0.479500580720093,0.5714285714285714,0.40476190476190477,0.0024812496880568607,3,10
"['Hotel', 'Pub', 'Liffey']",0.4033681765389082,0.6666666666666666,0.21428571428571427,0.01653414647635774,0.5107433217189314,0.6190476190476191,0.42857142857142855,0.004854863817428618,3,10
"['Hotel', 'Pub', 'Price Area']",0.432520325203252,0.6097560975609756,0.21428571428571427,0.013523210592981987,0.5300813008130081,0.6904761904761905,0.40476190476190477,0.006055123219226218,3,10
"['Hotel', 'Luas', 'Museum']",0.39628339140534263,0.6428571428571429,0.21428571428571427,0.017750421207547072,0.49128919860627185,0.6190476190476191,0.35714285714285715,0.0068785317021910885,3,10
"['Hotel', 'Luas', 'Restaurant']",0.40603948896631825,0.5952380952380952,0.2619047619047619,0.013420758348947353,0.49866434378629504,0.6428571428571429,0.38095238095238093,0.004708152743548343,3,10
"['Hotel', 'Luas', 'Company']",0.417711962833914,0.6904761904761905,0.23809523809523808,0.014599684212372241,0.5226480836236933,0.5952380952380952,0.47619047619047616,0.0020827010161589923,3,10
"['Hotel', 'Luas', 'Liffey']",0.40830429732868756,0.5365853658536586,0.2857142857142857,0.011295811800825829,0.49367015098722417,0.5714285714285714,0.4146341463414634,0.0023393003840441596,3,10
"['Hotel', 'Luas', 'Price Area']",0.4059814169570267,0.5365853658536586,0.2619047619047619,0.008336499977742436,0.5037166085946574,0.5952380952380952,0.35714285714285715,0.006719437328768507,3,10
"['Hotel', 'Museum', 'Restaurant']",0.4324622531939605,0.6428571428571429,0.2619047619047619,0.017291163342195888,0.5250871080139373,0.6341463414634146,0.43902439024390244,0.0026395313231380203,3,10
"['Hotel', 'Museum', 'Company']",0.45127758420441344,0.6666666666666666,0.2857142857142857,0.011428750163559374,0.5299070847851336,0.6428571428571429,0.4146341463414634,0.004460770030796377,3,10
"['Hotel', 'Museum', 'Liffey']",0.4076655052264808,0.6904761904761905,0.2619047619047619,0.016698097045679264,0.5128339140534263,0.6428571428571429,0.36585365853658536,0.006856169594548113,3,10
"['Hotel', 'Museum', 'Price Area']",0.4419860627177701,0.6097560975609756,0.2619047619047619,0.014081919303513591,0.592102206736353,0.7142857142857143,0.5,0.0047242152859557456,3,10
"['Hotel', 'Restaurant', 'Company']",0.39175377468060396,0.5714285714285714,0.19047619047619047,0.016297609267780087,0.479500580720093,0.6666666666666666,0.38095238095238093,0.005769231547467292,3,10
"['Hotel', 'Restaurant', 'Liffey']",0.38397212543554005,0.6190476190476191,0.19047619047619047,0.01547479431986953,0.5058072009291521,0.5952380952380952,0.36585365853658536,0.0042667751217084085,3,10
"['Hotel', 'Restaurant', 'Price Area']",0.39401858304297327,0.5609756097560976,0.23809523809523808,0.010631646075047114,0.5298490127758421,0.6904761904761905,0.3902439024390244,0.006572942085817076,3,10
"['Hotel', 'Company', 'Liffey']",0.4011033681765389,0.6428571428571429,0.23809523809523808,0.015133191289603295,0.46771196283391403,0.6097560975609756,0.34146341463414637,0.006715323051687462,3,10
"['Hotel', 'Company', 'Price Area']",0.35307781649245057,0.5238095238095238,0.16666666666666666,0.014092275815739744,0.47973286875725896,0.6190476190476191,0.30952380952380953,0.007037062891783724,3,10
"['Hotel', 'Liffey', 'Price Area']",0.3508130081300813,0.4634146341463415,0.21428571428571427,0.010145567844429068,0.4650987224157957,0.5238095238095238,0.38095238095238093,0.0029585328083246007,3,10
"['Tourism', 'University', 'Cafe']",0.3818815331010453,0.5,0.23809523809523808,0.009198795123839738,0.5034262485481997,0.5952380952380952,0.35714285714285715,0.004692599427238672,3,10
"['Tourism', 'University', 'Pub']",0.3988966318234611,0.5714285714285714,0.14285714285714285,0.02013402088973603,0.5032520325203252,0.5952380952380952,0.3333333333333333,0.006694684219116956,3,10
"['Tourism', 'University', 'Luas']",0.4085365853658537,0.5714285714285714,0.23809523809523808,0.014830704242831377,0.5273519163763067,0.6428571428571429,0.4523809523809524,0.004523104700932526,3,10
"['Tourism', 'University', 'Museum']",0.3891405342624855,0.6190476190476191,0.21428571428571427,0.015203633109004067,0.5130662020905923,0.6428571428571429,0.42857142857142855,0.0033942280064911167,3,10
"['Tourism', 'University', 'Restaurant']",0.3724738675958188,0.5365853658536586,0.14285714285714285,0.013684975874148988,0.47938443670150993,0.5952380952380952,0.3333333333333333,0.004998796068100055,3,10
"['Tourism', 'University', 'Company']",0.3866434378629501,0.5609756097560976,0.19047619047619047,0.01194433990133829,0.4917537746806039,0.5952380952380952,0.38095238095238093,0.0043640878917499985,3,10
"['Tourism', 'University', 'Liffey']",0.3721835075493612,0.5,0.21428571428571427,0.00804337459750904,0.4913472706155634,0.6428571428571429,0.40476190476190477,0.005326535333546469,3,10
"['Tourism', 'University', 'Price Area']",0.4034843205574913,0.5952380952380952,0.21428571428571427,0.016255630152120337,0.529849012775842,0.6428571428571429,0.4146341463414634,0.006425974712708803,3,10
"['Tourism', 'Cafe', 'Pub']",0.4345528455284553,0.6428571428571429,0.2619047619047619,0.012495130314668004,0.5533101045296169,0.7142857142857143,0.4146341463414634,0.007207255696250343,3,10
"['Tourism', 'Cafe', 'Luas']",0.3843205574912892,0.5714285714285714,0.21428571428571427,0.010767049631671032,0.5153890824622532,0.6428571428571429,0.40476190476190477,0.004586491546846777,3,10
"['Tourism', 'Cafe', 'Museum']",0.4706736353077817,0.6666666666666666,0.30952380952380953,0.012517064132811562,0.5705574912891986,0.6666666666666666,0.4523809523809524,0.003489868086834178,3,10
"['Tourism', 'Cafe', 'Restaurant']",0.4396051103368176,0.6428571428571429,0.23809523809523808,0.018193063463735684,0.5318815331010454,0.6428571428571429,0.3902439024390244,0.005353581646816968,3,10
"['Tourism', 'Cafe', 'Company']",0.40342624854819975,0.6190476190476191,0.21428571428571427,0.01386417287517823,0.5152148664343786,0.6190476190476191,0.35714285714285715,0.005674518865646596,3,10
"['Tourism', 'Cafe', 'Liffey']",0.37688734030197446,0.5476190476190477,0.23809523809523808,0.008945854764670098,0.5057491289198607,0.6190476190476191,0.3902439024390244,0.0050785995540393435,3,10
"['Tourism', 'Cafe', 'Price Area']",0.3722415795586527,0.6190476190476191,0.19047619047619047,0.016289367224184937,0.5198606271777004,0.6666666666666666,0.3170731707317073,0.008145850448051519,3,10
"['Tourism', 'Pub', 'Luas']",0.3913472706155633,0.6428571428571429,0.19047619047619047,0.013913166496025342,0.5083623693379791,0.6666666666666666,0.40476190476190477,0.006834097509715764,3,10
"['Tourism', 'Pub', 'Museum']",0.4560394889663183,0.6666666666666666,0.2857142857142857,0.011870097434174939,0.5416376306620208,0.6666666666666666,0.4523809523809524,0.004093236937844739,3,10
"['Tourism', 'Pub', 'Restaurant']",0.4321138211382114,0.5952380952380952,0.21428571428571427,0.013496882592021541,0.557897793263647,0.7142857142857143,0.4146341463414634,0.009004537170807249,3,10
"['Tourism', 'Pub', 'Company']",0.4347270615563299,0.6428571428571429,0.19047619047619047,0.026406792738907985,0.5177700348432055,0.6666666666666666,0.38095238095238093,0.006071742200747045,3,10
"['Tourism', 'Pub', 'Liffey']",0.4081881533101045,0.5952380952380952,0.16666666666666666,0.01536172926438075,0.5222996515679442,0.7142857142857143,0.4146341463414634,0.008713512769771798,3,10
"['Tourism', 'Pub', 'Price Area']",0.40847851335656216,0.6585365853658537,0.14285714285714285,0.02485827327163267,0.5292102206736354,0.7380952380952381,0.36585365853658536,0.01165602013162989,3,10
"['Tourism', 'Luas', 'Museum']",0.4055168408826946,0.6190476190476191,0.19047619047619047,0.010691458221202422,0.5079558652729385,0.6666666666666666,0.36585365853658536,0.009044600786973523,3,10
"['Tourism', 'Luas', 'Restaurant']",0.3868176538908246,0.5952380952380952,0.21428571428571427,0.014105121128364095,0.49645760743321715,0.6666666666666666,0.30952380952380953,0.0105076916747266,3,10
"['Tourism', 'Luas', 'Company']",0.4035423925667828,0.6341463414634146,0.2619047619047619,0.013890774037157994,0.4694541231126597,0.7142857142857143,0.34146341463414637,0.008995779156397838,3,10
"['Tourism', 'Luas', 'Liffey']",0.36498257839721254,0.5,0.2619047619047619,0.006377483573242899,0.5058652729384437,0.5952380952380952,0.38095238095238093,0.0035417484463545488,3,10
"['Tourism', 'Luas', 'Price Area']",0.3747967479674797,0.5853658536585366,0.21428571428571427,0.01275750990461622,0.5078397212543555,0.6666666666666666,0.4146341463414634,0.005492509317825881,3,10
"['Tourism', 'Museum', 'Restaurant']",0.4660278745644598,0.6428571428571429,0.2857142857142857,0.014960877271789148,0.5778745644599302,0.7142857142857143,0.4523809523809524,0.004251427519252794,3,10
"['Tourism', 'Museum', 'Company']",0.4465156794425088,0.6190476190476191,0.2619047619047619,0.012835900372443249,0.5224157955865273,0.6904761904761905,0.3902439024390244,0.010702934356371933,3,10
"['Tourism', 'Museum', 'Liffey']",0.37955865272938444,0.5952380952380952,0.21428571428571427,0.014517948365148164,0.5078977932636469,0.7142857142857143,0.3902439024390244,0.00861510735565295,3,10
"['Tourism', 'Museum', 'Price Area']",0.38885017421602786,0.5476190476190477,0.21428571428571427,0.00936174747511537,0.5176538908246225,0.6904761904761905,0.38095238095238093,0.00741960635136466,3,10
"['Tourism', 'Restaurant', 'Company']",0.4081881533101045,0.6428571428571429,0.16666666666666666,0.020883696131635286,0.5080720092915215,0.6190476190476191,0.4146341463414634,0.0033066276282474145,3,10
"['Tourism', 'Restaurant', 'Liffey']",0.3937862950058072,0.5952380952380952,0.19047619047619047,0.016450056723065987,0.49599303135888506,0.6190476190476191,0.3902439024390244,0.004880035099504803,3,10
"['Tourism', 'Restaurant', 'Price Area']",0.37491289198606276,0.6190476190476191,0.19047619047619047,0.018246967238213944,0.5029616724738677,0.6190476190476191,0.36585365853658536,0.007772169545986153,3,10
"['Tourism', 'Company', 'Liffey']",0.376945412311266,0.5714285714285714,0.16666666666666666,0.016057514221234796,0.4624854819976772,0.5952380952380952,0.3902439024390244,0.0050473546547312184,3,10
"['Tourism', 'Company', 'Price Area']",0.37229965156794426,0.5714285714285714,0.21428571428571427,0.01476239375385292,0.5011033681765389,0.6190476190476191,0.38095238095238093,0.00453234496257357,3,10
"['Tourism', 'Liffey', 'Price Area']",0.4013937282229965,0.5476190476190477,0.14285714285714285,0.016806538597989272,0.5296167247386759,0.7380952380952381,0.4523809523809524,0.007285238108727531,3,10
"['University', 'Cafe', 'Pub']",0.37973286875725903,0.5609756097560976,0.21428571428571427,0.013958693332577926,0.4916957026713124,0.5714285714285714,0.35714285714285715,0.004453404800349647,3,10
"['University', 'Cafe', 'Luas']",0.4083623693379791,0.5365853658536586,0.2857142857142857,0.006454275543253195,0.5181765389082462,0.5952380952380952,0.40476190476190477,0.0028034447965186475,3,10
"['University', 'Cafe', 'Museum']",0.3986062717770035,0.5952380952380952,0.23809523809523808,0.011991040318566454,0.5110917537746805,0.5853658536585366,0.42857142857142855,0.0022395460266200484,3,10
